date,AK,AL,AR,AZ,DE,GA,ID,KS,KY,LA,MA,MD,ME,MI,MN,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
9/9/12,0.628626693,5.234315949,0,1.128965801,0,0.837719623,0.814536341,0.220324979,0.081703518,1.793185894,0.756897534,4.871447903,0.290939318,0.456802383,0.64171123,0.895777051,0.364298725,4.410646388,0.034794711,0.658720201,2.251270879,1.559911651,0.173953381,0.367607309,0.679809653,0.855200643,0.115473441,0.232919255,0,0.124398739,2.149944873,1.681237391,1.082875714,1.241830065,0.192926045,0.283213182,0.545702592
9/16/12,0.229226361,4.462204462,0,1.053521993,0,0.775279248,1.282472871,0.199089875,0.061858859,1.894121032,0.635544257,2.504173623,0.45691906,0.543339842,0.704225352,0.939926441,0,4.862745098,0.069565217,0.699912511,2.482088025,0.682302772,0.108998426,0.482625483,0.793650794,0.707461163,0.065114765,0.297074954,0.632911392,0.266129032,2.124538144,1.183877738,1.228108329,1.957070707,0.396475771,0.318640467,0.452124987
9/23/12,0.568181818,4.949238579,0.431034483,1.03794453,0,0.844129629,1.898162097,0.05733945,0.05490232,1.816664212,0.660707346,3.437620703,0.313479624,0.304568528,0.649491232,1.005380912,0.205128205,4.354032834,0.034578147,0.79583716,2.18483723,0.57381325,0.283052247,0.498303647,0.686341798,0.774147727,0.153421295,0.353690167,0.674536256,0.332657201,2.084058825,1.336559512,1.251795052,1.6930639,0.340393343,0.706297822,0.515361744
9/30/12,1.198934281,1.494036409,0.471698113,0.756793946,0.159489633,0.95133953,0.988849148,0.635324015,0.106399149,2.883100515,0.691072758,1.088421271,0.618896988,0.849217986,0.871794872,0.733066171,1.3481364,2.802865151,0.27027027,1.369035635,1.427276846,0.540606208,0.293219304,0.919488675,0.36505867,1.032176778,0.199203187,0.367020579,0.867285196,0.4004004,1.983958422,1.368541629,1.247165533,1.311045559,0.527557962,0.803626623,0.35817122
10/7/12,0.847035376,1.988263721,0.580954787,0.787401575,0.268997983,1.168437026,1.031353135,0.75251851,0.203549061,2.889088038,0.721036337,1.222442796,0.809473842,0.923706519,0.483091787,0.615731951,1.359516616,2.668759812,0.121241513,1.705362646,1.483613818,0.474664037,0.572891273,0.754795374,0.753693096,0.87040619,0.163339383,0.319977741,1.076125947,0.49227134,2.351457607,1.244364292,1.36243513,1.246334311,0.527774113,0.686253485,0.50530571
10/14/12,0.986277873,1.708575113,0.6497342,0.977280742,0.298013245,1.041939957,0.920998772,1.095107725,0.112326626,2.655591951,1.047284367,0.974201696,0.697180964,1.00626657,0.556815838,0.743171509,0.855513308,2.525724977,0.076394194,1.394344069,1.108062474,0.600396138,1.002828491,0.864974878,0.774748924,1.109872289,0.273184759,0.400474637,1.203835952,1.130159946,1.944993162,1.540444731,1.349053711,1.296362982,0.657718121,0.429092469,0.569094804
10/21/12,1.174934726,1.563998082,0.946049604,0.767786125,0.456621005,1.249570889,0.598205384,0.793454005,0.097247885,3.262359868,0.700901662,0.609756098,0.655307995,0.770931353,0.598555212,0.828716634,0.823353293,3.181662675,0.148841165,1.455435343,1.491836016,0.821040913,0.77884555,0.863507728,0.708382527,0.969936785,0.388407529,0.251326445,0.645551745,0.945957782,2.552294724,1.397028355,1.439837827,1.091165083,0.639629831,0.54817626,0.453898787
10/28/12,1.375332742,1.712542035,0.336177916,1.073295518,0.239348971,1.29223314,1.096224117,1.610402004,0.044083072,3.303599621,0.79019985,1.36443662,0.702751196,1.136071887,0.765357503,1.083479517,0.627802691,3.046014258,0.145701797,1.277372263,1.196278246,0.527618551,0.633484163,0.804787454,0.801232666,1.255156158,0.169300226,0.246609125,1.088093744,1.138239639,2.785802724,1.829820641,1.613457991,0.993861444,0.851955307,0.351452671,0.47484248
11/4/12,1.329787234,2.11596766,0.522689475,1.107211705,0.45751634,1.822585152,1.379574631,1.115664845,0.128021303,4.236982547,0.657702426,1.186999529,0.82367723,1.016077939,0.730519481,1.483416523,1.482127289,1.926977688,0.166631952,1.807092839,1.686177639,0.593158901,0.832930951,0.923036922,0.662251656,1.163481533,0.195753652,0.396930405,0.952380952,1.473612063,3.207381371,1.687543493,1.557803898,1.034692635,0.79396586,0.408953939,0.484779354
11/11/12,1.037037037,3.002741091,0.558987938,1.245274628,0.485908649,2.447748196,2.19938335,0.907441016,0.09995502,4.223687722,0.796016284,0.969659055,0.941247913,1.33071415,0.61893955,1.484949159,1.489028213,3.098259074,0.136612022,1.395853097,2.084052965,0.735591848,0.99170678,0.971335416,0.440044004,1.203528992,0.158913609,0.517196793,1.022968539,1.872122762,3.224576917,1.84276586,1.757174772,0.983020554,1.210244864,0.838926175,0.358075345
11/18/12,1.666666667,5.240988254,1.093066833,1.309984389,0.905523695,3.244568153,2.548918641,1.032424585,0.28589766,5.201717506,1.044411441,1.894108874,0.865344027,1.450545947,1.057142857,1.798988998,1.818181818,2.129817444,0.191570881,1.364411598,2.26523888,0.757751488,1.704765595,1.643700787,0.366151343,1.462214411,0.313479624,1.094224924,1.146131805,4.442691903,5.161695447,2.823677055,2.081325037,1.138952164,1.234840132,1.013734467,0.488446365
