state_acronym,scf_name,_TYPE_,_FREQ_,meanpop,scf_id,state_name,pop,scf_lat,scf_long,scf_elev,scf_persons_per_house,scf_income_per_house,N_zip3,FIPS,state_pop2000,state_lat,state_long,NCHS_id,city_id
OH,Toledo,3,1,809999.8387,401,Ohio,809765,41.55000571,-83.70707096,654.6139037,2.709630125,42418.57526,3,39,11353140,40.480854,-82.749366,36,303
KS,Topeka,3,1,294169.0423,402,Kansas,416178,39.07824808,-95.98669145,1128.692204,2.599846949,37500.76155,4,20,2688418,38.454303,-96.536052,17,304
MI,Traverse City,3,1,264287.4496,403,Michigan,251214,44.5426968,-85.63285979,867.1714286,2.610142857,37687.03077,1,26,9938444,42.866412,-84.170753,23,305
NJ,Trenton,3,1,989143.2399,404,New Jersey,952909,40.13280469,-74.45319572,79.40407403,2.730778414,59808.05556,3,34,8414350,40.438458,-74.428055,31,306
AZ,Tucson,3,1,1121758.042,406,Arizona,1012093,32.13260748,-110.8482748,3272.445969,2.688773585,37170.85671,2,4,5130632,33.373506,-111.828711,3,307
OK,Tulsa,3,1,1077622.349,408,Oklahoma,1044295,36.24545095,-95.94414084,760.0248919,2.559703167,32764.70865,3,40,3450654,35.59794,-96.834653,37,308
MS,Tupelo,3,1,254436.1754,409,Mississippi,239279,34.3104962,-88.65683632,385,2.6598,30768.47619,1,28,2844658,32.56642,-89.593164,25,309
AL,Tuscaloosa,3,1,204636.9556,410,Alabama,200141,33.1417327,-87.72859876,274.3043478,2.772826087,31054.87879,1,1,4447100,33.001471,-86.766233,1,310
TX,Tyler,3,1,320938.7823,412,Texas,298868,32.24883011,-95.33235779,457.1489362,2.684042553,33982.41667,1,48,20851820,30.943149,-97.388631,44,311
NY,Utica,3,1,306210.8468,414,New York,400555,43.12933534,-75.25046425,896.6287285,2.738342246,33777.20476,3,36,18976457,41.507548,-74.645228,33,312
GA,Valdosta,3,1,174715.7339,415,Georgia,166502,30.99646297,-83.20118248,200.6969697,2.832424242,29839.75862,1,13,8186453,33.332208,-83.868887,11,313
CA,Van Nuys,3,1,1956125.823,417,California,1838766,34.23549809,-118.5170163,781.157779,2.963142857,49463.36593,4,6,33871648,35.458606,-119.355165,5,314
TX,Victoria,3,1,164843.6532,418,Texas,160843,28.8888829,-96.93440587,125.9473684,2.703421053,34115.76667,1,48,20851820,30.943149,-97.388631,44,315
TX,Waco,3,1,321231.3589,419,Texas,308495,31.6408389,-97.09573861,544.8301217,2.683189655,31409.17505,2,48,20851820,30.943149,-97.388631,44,316
IN,Washington,3,1,159555.8589,421,Indiana,159208,38.42473497,-86.99350491,521.9824561,2.729473684,37825.81132,1,18,6080485,40.163935,-86.261515,15,317
CT,Waterbury,3,1,328571.4395,422,Connecticut,320160,41.62952634,-73.16030532,629.04,2.6298,56925.52778,1,9,3405565,41.494852,-72.874365,7,318
IA,Waterloo,3,1,203092.7702,423,Iowa,247034,42.58643009,-92.41101555,953.45,2.617857143,35925.82813,2,19,2926324,41.960392,-93.049161,16,319
SD,Watertown,3,1,70867.93145,425,South Dakota,71693,45.03067674,-97.11455363,1659.157895,2.605614035,32271.80357,1,46,754844,44.047502,-99.043799,42,320
WI,Wausau,3,1,386036.3145,426,Wisconsin,379688,44.87314934,-89.79051949,1271.930233,2.74127907,39787.23288,1,55,5363675,43.728544,-89.001006,50,321
GA,Waycross,3,1,306829.2944,427,Georgia,291176,31.32699802,-82.12453177,113.9038462,2.8125,33167.675,1,13,8186453,33.332208,-83.868887,11,322
WA,Wenatchee,3,1,204846.3185,428,Washington,195475,47.86299083,-119.8765555,1815.826087,2.628695652,34407.65909,1,53,5894121,47.341728,-121.624501,48,323
NJ,West Jersey,3,1,615417.0968,429,New Jersey,591536,40.85700752,-74.65524428,528.2607143,2.809464286,82437.10897,2,34,8414350,40.438458,-74.428055,31,324
FL,West Palm Bea,3,1,1744084.712,430,Florida,1568643,26.76096775,-80.22293532,15.17797256,2.455282012,41943.24242,2,12,15982378,27.79585,-81.634622,10,325
NY,Westchester,3,1,1538558.772,431,New York,1501136,41.15773051,-73.91805955,275.0454662,2.811441492,71451.08364,5,36,18976457,41.507548,-74.645228,33,326
VT,White River J,3,2,357019.1714,434,Vermont,436602,43.76147592,-72.4446557,1020.303831,2.637446587,39106.92725,10,50,608827,44.081127,-72.814309,46,327
KS,Wichita,3,1,577230.9556,435,Kansas,657000,37.62760643,-97.45794558,1404.888765,2.576937603,41803.44274,3,20,2688418,38.454303,-96.536052,17,328
TX,Wichita Falls,3,1,174286.3185,436,Texas,176949,33.79123891,-98.74428078,1095.9375,2.643125,31833.71429,1,48,20851820,30.943149,-97.388631,44,329
PA,Wilkes Barre,3,1,386929.9778,437,Pennsylvania,440830,41.17649214,-75.9710254,1073.854039,2.580934959,34412.00258,3,42,12281054,40.463528,-77.075925,39,330
DE,Wilmington,3,1,838600.2944,441,Delaware,783525,39.39587474,-75.55366168,99.14209877,2.691818182,59024.89505,3,10,783600,39.397164,-75.561908,8,331
VA,Winchester,3,1,164874.7319,442,Virginia,148633,39.026046,-78.21670636,800.030303,2.691212121,43129.37931,1,51,7078515,37.750345,-77.835857,47,332
MN,Windom,3,1,91896.54637,443,Minnesota,93558,43.89431613,-95.66794706,1500,2.579701493,34366.43077,1,27,4919479,45.210782,-93.583003,24,333
MA,Worcester,3,1,1124145.298,446,Massachusetts,1093513,42.33660342,-71.68660334,489.5706392,2.717305854,59940.38536,4,25,6349097,42.271831,-71.363628,22,334
OH,Youngstown,3,1,698685.4577,449,Ohio,730182,40.87049004,-80.75581258,1011.989794,2.617602112,32376.55864,3,39,11353140,40.480854,-82.749366,36,335
OH,Zanesville,3,1,249729.3004,450,Ohio,257517,39.96001417,-81.73174026,932.749331,2.667305977,35365.97415,2,39,11353140,40.480854,-82.749366,36,336
